timestamp,outdoor_temp_c,zone1_temp_c,zone1_humidity_pct,zone1_occupancy,zone1_heating_w,zone1_cooling_w,zone2_temp_c,zone2_humidity_pct,zone2_occupancy,zone2_heating_w,zone2_cooling_w,zone3_temp_c,zone3_humidity_pct,zone3_occupancy,zone3_heating_w,zone3_cooling_w,zone4_temp_c,zone4_humidity_pct,zone4_occupancy,zone4_heating_w,zone4_cooling_w,zone5_temp_c,zone5_humidity_pct,zone5_occupancy,zone5_heating_w,zone5_cooling_w,facility_energy_kwh,hvac_energy_kwh,chiller_power_w,avg_indoor_temp_c,avg_humidity_pct,total_occupancy,outdoor_indoor_delta_c
01/01  01:00:00,-8.2625,17.37181388265773,27.84540481865773,0.0,19.55110002031222,0.0,17.59920334820755,27.61224067959996,0.0,1.2432184197758147,0.0,17.39145678519568,27.79535012450725,0.0,17.030737138854022,0.0,17.600807254080976,27.62504698232496,0.0,1.2532129083983818,0.0,19.19529122910097,25.223980819033383,0.0,0.0,124.52811366300556,0.8513778494216753,0.3763778494216753,0.0,17.83171449984858,27.220404684824654,0.0,-26.09421449984858
01/01  02:00:00,-11.8875,16.816165579568445,28.019340882390992,0.0,29.243350125627277,0.0,17.075165490129702,27.759655362286768,0.0,0.0842849438897701,4.47231195321416,16.841552123846014,27.95350992862248,0.0,12.652940484213444,0.0,17.07517458226996,27.78268869753211,0.0,0.0767228309490519,4.91953803364521,18.928775135813,24.575481198218743,0.0,0.0,151.44413223758693,0.851393255592106,0.3763778494216753,0.0,17.347366582325424,27.218135213810218,0.0,-29.234866582325424
01/01  03:00:00,-11.325,16.700033467482854,27.3834611772874,0.0,200.8464438030888,0.0,16.752208296334537,27.48232657817603,0.0,6.068080219307944,12.228767785693208,16.700280818341646,27.361148491831923,0.0,170.10439093945536,0.0,16.751548920648194,27.503520672306426,0.0,6.280542750242319,12.48298135187025,18.731130899578613,23.949867234925,0.0,0.0,185.1152143758877,0.8519405753314715,0.3763778494216753,0.0,17.12704048047717,26.736064830905356,0.0,-28.45204048047717
01/01  04:00:00,-11.1,16.6998613966172,26.610461997365576,0.0,341.84183953648983,0.0,16.699509674085107,26.75847776004061,0.0,77.26752943349987,0.0,16.70015555876869,26.59129501517088,0.0,312.4336183280118,0.0,16.700192565879426,26.77184086246384,0.0,77.59589361894331,0.0,18.56339329237256,23.44911029475023,0.0,0.0,202.15329326773923,0.8527940423924062,0.3763778494216753,0.0,17.072622497544597,26.036237185958225,0.0,-28.172622497544594
01/01  05:00:00,-10.7875,16.69994490301094,25.784541992537985,0.0,424.6527784838497,0.0,16.699777186806063,25.933459043052995,0.0,124.29874466490878,0.0,16.6999412092661,25.766770768856183,0.0,395.3358025202791,0.0,16.700181158469153,25.949470126695275,0.0,124.17585884138856,0.0,18.432110700399228,22.8634477266503,0.0,0.0,191.82395842319607,0.8536342865815626,0.3763778494216753,0.0,17.046391031590296,25.259537931558548,0.0,-27.833891031590298
01/01  06:00:00,-10.6,16.7000008579569,25.0057350121607,0.0,463.91681416236526,0.0,16.70042502932484,25.14945485384701,0.0,145.36343593493598,0.0,16.699912486157427,24.98864452828011,0.0,434.3345959583228,0.0,16.700381130119457,25.16531390424121,0.0,145.28793944687953,0.0,18.352503905785447,22.257874766333373,0.0,0.0,185.5042824994798,0.8546485249482102,0.3763778494216753,0.0,17.030644681868814,24.513404612972483,0.0,-27.630644681868816
01/01  07:00:00,-10.6,19.766016235414853,16.708989010990447,0.0,3436.367570044283,0.0,20.252072805273613,14.405770435019145,0.0,1713.8250694634544,0.0,19.69831650751142,16.90519906651874,0.0,3306.018529081276,0.0,20.272853503561244,14.090549149105367,0.0,1721.3653801598296,0.0,20.41140966938014,17.115578380574387,0.0,2875.84596721862,0.0,0.9873207701655842,0.3763778494216753,0.0,20.080133744228256,15.84521720844162,0.0,-30.680133744228257
01/01  08:00:00,-10.225,21.29908394364077,11.113534227308186,0.0,3337.300024640398,0.0,21.939908667091707,9.058606424372126,0.0,1440.2623209966616,0.0,21.21493281902849,11.338095121363432,0.0,3213.726916099157,0.0,21.88984164116913,8.923753431386121,0.0,1601.2285630245262,0.0,21.60521172801722,12.720856104227089,0.0,2802.74384551231,0.0,0.9826360348834147,0.3763778494216753,0.0,21.589795759789464,10.63096906173139,0.0,-31.81479575978946
01/01  09:00:00,-9.3125,22.20048789092677,12.96491036428764,11.0,1790.7561208093166,0.0,22.20061984475341,11.605516543250022,5.0,74.65192700920633,141.62842058421268,22.196173298725785,13.118256847911374,11.0,1815.0150442942893,0.0,22.200306601491175,11.419218820378411,5.0,724.5992358024828,0.0,22.200066513939877,14.889360247475622,20.0,308.4912974747302,26.35402853710525,9.17975391382859,0.3763778494216753,0.0,22.199530829967404,12.799452564660614,52.0,-31.512030829967404
01/01  10:00:00,-7.525,22.20130205962794,17.527810578596604,11.0,391.686659307356,0.0,23.26070389281581,13.907321400895569,5.0,0.0,485.8212927496685,22.202046836616105,17.81437095115934,11.0,708.1756192043824,0.0,22.20117843186501,14.18187821161819,5.0,279.0690334936116,0.0,22.631799175516772,20.244628752566214,20.0,0.0,523.3338244512775,12.03455215441106,0.3763778494216753,0.0,22.499406079288327,16.735201978967183,52.0,-30.024406079288326
