Date/Time,Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod) 
 01/01  01:00:00,3075615.256267583,1354960.257918031 
 01/01  02:00:00,3082050.6854387373,1354960.257918031 
 01/01  03:00:00,3084924.4432354853,1354960.257918031 
 01/01  04:00:00,3087945.854236033,1354960.257918031 
 01/01  05:00:00,3090145.702573479,1354960.257918031 
 01/01  06:00:00,3091514.678384556,1354960.257918031 
 01/01  07:00:00,3239142.557934094,1354960.257918031 
 01/01  08:00:00,3224542.132227914,1354960.257918031 
 01/01  09:00:00,33114017.996681273,1354960.257918031 
 01/01  10:00:00,43330627.14902049,1354960.257918031 
 01/01  11:00:00,44650482.01750573,1354960.257918031 
 01/01  12:00:00,43285727.59328993,1354960.257918031 
 01/01  13:00:00,39228789.24209941,1354960.257918031 
 01/01  14:00:00,41920084.20868848,1354960.257918031 
 01/01  15:00:00,42816779.60927428,1354960.257918031 
 01/01  16:00:00,41017252.074648336,1354960.257918031 
 01/01  17:00:00,37420300.74730055,1354960.257918031 
 01/01  18:00:00,37423408.14604987,1354960.257918031 
 01/01  19:00:00,23019032.654463544,1354960.257918031 
 01/01  20:00:00,12233476.00149208,1354960.257918031 
 01/01  21:00:00,7132762.408511437,1354960.257918031 
 01/01  22:00:00,3090382.457080557,1354960.257918031 
 01/01  23:00:00,3098343.928570501,1354960.257918031 
 01/01  24:00:00,3102730.090086166,1354960.257918031 
 01/02  01:00:00,3065017.9764476423,1354960.257918031 
 01/02  02:00:00,3069191.152985566,1354960.257918031 
 01/02  03:00:00,3072811.5251639755,1354960.257918031 
 01/02  04:00:00,3074252.4039192293,1354960.257918031 
